Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
519933,"The Lives of Christopher Chant (Chrestomanci, #2)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""0688163653""","=""9780688163655""",0,4.25,Greenwillow Books,Mass Market Paperback,240,1998,1988,2025/06/17,2025/06/16,,,read,,,,1,0
175113,The Return of the Prodigal Son: A Story of Homecoming,Henri J.M. Nouwen,"Nouwen, Henri J.M.",,"=""023252078X""","=""9780232520781""",0,4.38,"Darton, Longman and Todd",Paperback,160,1994,1991,,2025/06/02,to-read,to-read (#428),to-read,,,,0,0
129678,Red Earth and Pouring Rain,Vikram Chandra,"Chandra, Vikram",,"=""0316132934""","=""9780316132930""",0,3.79,Back Bay Books,Paperback,542,1995,1995,,2025/05/19,to-read,to-read (#427),to-read,,,,0,0
524978,Circadian,Joanna Klink,"Klink, Joanna",,"=""0143038842""","=""9780143038849""",0,4.15,Penguin Books,Paperback,67,2007,2007,,2025/05/19,to-read,to-read (#426),to-read,,,,0,0
822115,The Complete Poems of Anna Akhmatova,Anna Akhmatova,"Akhmatova, Anna","Judith Hemschemeyer, Roberta Reeder","=""0939010275""","=""9780939010271""",0,4.42,Zephyr Press,Paperback,948,2000,1965,,2025/05/19,to-read,to-read (#425),to-read,,,,0,0
595219,Collected Poems,Czesław Miłosz,"Miłosz, Czesław",,"=""0880011742""","=""9780880011747""",0,4.40,Ecco,Paperback,528,1990,1988,,2025/05/19,to-read,to-read (#424),to-read,,,,0,0
13095855,Rebel Cities: From the Right to the City to the Urban Revolution,David Harvey,"Harvey, David",,"=""1844678822""","=""9781844678822""",0,3.92,Verso,Hardcover,206,2012,2012,,2025/05/19,to-read,to-read (#423),to-read,,,,0,0
31242,Bleak House,Charles Dickens,"Dickens, Charles","Nicola Bradbury, Hablot Knight Browne","=""0143037617""","=""9780143037613""",0,4.02,Penguin Books,Paperback,1017,2006,1853,,2025/05/19,to-read,to-read (#422),to-read,,,,0,0
30528,Observations on the Feeling of the Beautiful and Sublime,Immanuel Kant,"Kant, Immanuel",John T. Goldthwait,"=""0520240782""","=""9780520240780""",0,3.56,University of California Press,Paperback,124,2004,1764,,2025/05/19,to-read,to-read (#421),to-read,,,,0,0
205134,Sonnets to Orpheus,Rainer Maria Rilke,"Rilke, Rainer Maria",M.D. Herter Norton,"=""0393328856""","=""9780393328851""",0,4.24,W. W. Norton,Paperback,162,2006,1923,,2025/05/19,to-read,to-read (#420),to-read,,,,0,0
